model,r2,beta_lag1,beta_lag1_p,f_stat,n_obs,n_etfs,gate_pass,extra_json,experiment_id,factors,freq,flow_unit,benchmark,r2_delta_bp
univariate_r2_by_lag,0.00905056627358164,59.87094965734295,0.03206395679651211,,44,44,True,"{""best_lag"": 1, ""best_r2"": 0.00905056627358164}",baseline,(none),W,raw,SPY,0.0
multilag_ols,0.07236990540243804,68.64187054230962,0.04350867417737503,0.0169198454276903,18860,44,True,{},baseline,(none),W,raw,SPY,0.0
multilag_ols_month_fe,0.10182268262792521,63.547881085390706,0.038593924159051635,0.033317921738900774,18860,44,True,{},baseline,(none),W,raw,SPY,0.0
cross_correlation,,0.09505143323791503,0.03206395679651217,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.09505143323791503}",baseline,(none),W,raw,SPY,
panel_pooled,0.01452343533052558,75.66182721411526,0.0607943995625726,23.254341811947597,18860,44,False,"{""r2_overall"": 0.014590156936670429, ""r2_between"": 0.007388249737517283}",baseline,(none),W,raw,SPY,0.0
panel_entity_fe,0.014523600690805716,75.81610652471765,0.06294841431688769,23.093888700374666,18860,44,False,"{""r2_overall"": 0.014589991248489365, ""r2_between"": 0.007296447000667561}",baseline,(none),W,raw,SPY,0.0
panel_entity_time_fe,0.012952290808542988,91.63505405431522,0.1377432568014869,17.090396683206695,18860,44,False,"{""r2_overall"": 0.013009000579000563, ""r2_between"": 0.0028558616125431424}",baseline,(none),W,raw,SPY,0.0
panel_entity_fe_excess,0.019115128136635517,26.74006150259073,0.30520285307851647,15.23040015294885,18825,44,False,"{""r2_overall"": 0.019213273783466933, ""r2_between"": 0.021160434844184728}",baseline,(none),W,raw,SPY,0.0
panel_entity_fe_controls,0.015609629089042065,75.91446094403099,0.061969812023592974,22.935542680448357,18860,44,False,"{""r2_overall"": 0.01603285926060083, ""r2_between"": -0.01849251658226092}",baseline,(none),W,raw,SPY,0.0
asymmetry,0.10909083179393003,33.87221621602467,,,18860,44,False,"{""beta_pos_median"": 33.87221621602467, ""beta_neg_median"": 28.978812054000272, ""asymmetry_ratio_median"": 0.828322505128021, ""wald_p_median"": 0.0006342118224778338}",baseline,(none),W,raw,SPY,0.0
relative_performance,0.11855447262282831,,,,18860,44,False,"{""r2_absolute_median"": 0.07236990540243804, ""r2_excess_median"": 0.0866866093604679, ""r2_combined_median"": 0.11855447262282831}",baseline,(none),W,raw,SPY,0.0
granger,,,0.04692043713657984,3.9752963285998297,0,44,False,"{""pct_significant_lag1"": 0.5227272727272727}",baseline,(none),W,raw,SPY,
seasonality,,,,,19388,44,False,"{""jan_mean"": 7.028632016756434, ""best_month"": 2, ""worst_month"": 8}",baseline,(none),W,raw,SPY,
drawdown,0.021493362543475003,-0.09753344105065337,0.8613012068206904,,1132,44,False,"{""1m"": {""beta_depth"": -0.09753344105065337, ""beta_depth_p"": 0.8613012068206904, ""r2"": 0.021493362543475003}, ""2m"": {""beta_depth"": 1.3871725318856598, ""beta_depth_p"": 0.45983480538274635, ""r2"": 0.01163687069651187}, ""3m"": {""beta_depth"": 1.6936866955290637, ""beta_depth_p"": 0.6177766702366211, ""r2"": 0.007527255245607711}, ""6m"": {""beta_depth"": 4.239456329375718, ""beta_depth_p"": 0.45005778669615726, ""r2"": 0.011154632227185046}}",baseline,(none),W,raw,SPY,0.0
panel_entity_fe_cum,,,,,0,44,False,"{""error"": ""exog does not have full column rank. If you wish to proceed with model estimation irrespective of the numerical accuracy of coefficient estimates, you can set check_rank=False.""}",baseline,(none),W,raw,SPY,
panel_entity_fe_cum_long,0.023179106928656767,33.984230078315086,0.5065617613356501,26.401026587112526,16748,44,False,"{""r2_overall"": 0.02153022362638979, ""r2_between"": -0.5638074783022498, ""CumRet_20_coef"": 27.255739337487466, ""CumRet_20_pval"": 0.007827639093347605, ""CumRet_60_coef"": 9.414096447904997, ""CumRet_60_pval"": 0.008828530540105683, ""CumRet_120_coef"": 9.61842630225429, ""CumRet_120_pval"": 0.03359064864670569}",baseline,(none),W,raw,SPY,0.0
panel_entity_time_fe_cum,,,,,0,44,False,"{""error"": ""exog does not have full column rank. If you wish to proceed with model estimation irrespective of the numerical accuracy of coefficient estimates, you can set check_rank=False.""}",baseline,(none),W,raw,SPY,
panel_gmm_ab,,75.60584979911268,0.09111708577742417,,44,44,False,"{""sargan_stat"": 40.173820191041884, ""sargan_p"": 1.0, ""ar1_stat"": -1.7574754337188285, ""ar1_p"": 0.07883680557241748, ""ar2_stat"": -0.9237910629637125, ""ar2_p"": 0.35559510913781384, ""transformation"": ""d""}",baseline,(none),W,raw,SPY,
panel_gmm_bb,,71.92050647999443,0.016332886525724708,,44,44,True,"{""sargan_stat"": 40.09851213053692, ""sargan_p"": 1.0, ""ar1_stat"": -0.9341602316241302, ""ar1_p"": 0.3502212461837074, ""ar2_stat"": 0.3375252661276218, ""ar2_p"": 0.735720968831634, ""transformation"": ""ld""}",baseline,(none),W,raw,SPY,
panel_entity_fe_trend,0.014310982337209732,75.34237818164559,0.06397981885504433,22.65531517060477,18825,44,False,"{""r2_overall"": 0.03338042001519448}",baseline,(none),W,raw,SPY,0.0
univariate_r2_by_lag,0.009896614591765829,8.894003487350838,0.03651552586986649,,44,44,True,"{""best_lag"": 1, ""best_r2"": 0.009896614591765829}",baseline,(none),W,pct_aum,SPY,0.0
multilag_ols,0.07091941680307007,10.027253049184544,0.019031155048381362,0.020027550158368414,18851,44,True,{},baseline,(none),W,pct_aum,SPY,0.0
multilag_ols_month_fe,0.09511531416307928,9.995504063383807,0.03176154562225503,0.011106311492746776,18851,44,True,{},baseline,(none),W,pct_aum,SPY,0.0
cross_correlation,,0.10070082106990683,0.03651552586986663,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.10070082106990683}",baseline,(none),W,pct_aum,SPY,
panel_pooled,0.013372298527439708,13.81569099458846,1.5054713793372088e-06,23.096893654245054,18851,44,True,"{""r2_overall"": 0.01449962670237226, ""r2_between"": 0.024892575797987204}",baseline,(none),W,pct_aum,SPY,0.0
panel_entity_fe,0.01342267029984967,13.54264625448932,2.412306114862872e-07,21.309284862169996,18851,44,True,"{""r2_overall"": 0.014450202392491285, ""r2_between"": 0.02152942771472588}",baseline,(none),W,pct_aum,SPY,0.0
panel_entity_time_fe,0.011733648786243056,19.261647615544344,0.0015382088700144347,15.969673121673726,18851,44,True,"{""r2_overall"": 0.013095786431148837, ""r2_between"": 0.03125267764838924}",baseline,(none),W,pct_aum,SPY,0.0
panel_entity_fe_excess,0.015832980714812428,6.666828643123282,0.010497821080669878,12.567172569317256,18816,44,True,"{""r2_overall"": 0.017250612779371677, ""r2_between"": 0.041661689831582804}",baseline,(none),W,pct_aum,SPY,0.0
panel_entity_fe_controls,0.013632978003782936,13.54644142409068,2.512877885774145e-07,19.981498764141612,18851,44,True,"{""r2_overall"": 0.015149209239900596, ""r2_between"": 0.0251346501055576}",baseline,(none),W,pct_aum,SPY,0.0
asymmetry,0.11340171883543115,3.9152602852839147,,,18851,44,False,"{""beta_pos_median"": 3.9152602852839147, ""beta_neg_median"": 4.150945224225152, ""asymmetry_ratio_median"": 0.8413884378765211, ""wald_p_median"": 0.0020101957181691}",baseline,(none),W,pct_aum,SPY,0.0
relative_performance,0.10689477529722263,,,,18851,44,False,"{""r2_absolute_median"": 0.07091941680307007, ""r2_excess_median"": 0.08095711612915718, ""r2_combined_median"": 0.10689477529722263}",baseline,(none),W,pct_aum,SPY,0.0
granger,,,0.06761467712754694,3.3776021788347954,0,42,False,"{""pct_significant_lag1"": 0.4523809523809524}",baseline,(none),W,pct_aum,SPY,
seasonality,,,,,19343,44,False,"{""jan_mean"": NaN, ""best_month"": 1, ""worst_month"": 8}",baseline,(none),W,pct_aum,SPY,
drawdown,0.012514274460384,0.05987541433776075,0.287420605350821,,1132,44,False,"{""1m"": {""beta_depth"": 0.05987541433776075, ""beta_depth_p"": 0.287420605350821, ""r2"": 0.012514274460384}, ""2m"": {""beta_depth"": 0.07546031525188286, ""beta_depth_p"": 0.47662197803829287, ""r2"": 0.013309085517576924}, ""3m"": {""beta_depth"": -0.04755392680779939, ""beta_depth_p"": 0.7701642196953337, ""r2"": 0.012541957638266599}, ""6m"": {""beta_depth"": -0.1264421034687851, ""beta_depth_p"": 0.6449391696976454, ""r2"": 0.016432820845811436}}",baseline,(none),W,pct_aum,SPY,0.0
panel_entity_fe_cum,,,,,0,44,False,"{""error"": ""exog does not have full column rank. If you wish to proceed with model estimation irrespective of the numerical accuracy of coefficient estimates, you can set check_rank=False.""}",baseline,(none),W,pct_aum,SPY,
panel_entity_fe_cum_long,0.029631230362066052,8.678545320342398,4.3793871351560654e-07,33.97441048431048,16748,44,True,"{""r2_overall"": 0.029091774626398115, ""r2_between"": -0.0764171978542676, ""CumRet_20_coef"": 1.072226186966114, ""CumRet_20_pval"": 0.026780664356720107, ""CumRet_60_coef"": 0.6344108103287229, ""CumRet_60_pval"": 0.005414948883689652, ""CumRet_120_coef"": 0.15969155507029578, ""CumRet_120_pval"": 0.22865638319021175}",baseline,(none),W,pct_aum,SPY,0.0
panel_entity_time_fe_cum,,,,,0,44,False,"{""error"": ""exog does not have full column rank. If you wish to proceed with model estimation irrespective of the numerical accuracy of coefficient estimates, you can set check_rank=False.""}",baseline,(none),W,pct_aum,SPY,
panel_gmm_ab,,5.975089925473472,0.03149581461664558,,44,44,True,"{""sargan_stat"": 43.999999999999666, ""sargan_p"": 1.0, ""ar1_stat"": -1.936593349760688, ""ar1_p"": 0.05279507152980947, ""ar2_stat"": 1.1839782588361762, ""ar2_p"": 0.23642166917365323, ""transformation"": ""d""}",baseline,(none),W,pct_aum,SPY,
panel_gmm_bb,,10.689748101760404,6.93212670899161e-06,,44,44,True,"{""sargan_stat"": 43.999999999996085, ""sargan_p"": 1.0, ""ar1_stat"": -3.0346307689889183, ""ar1_p"": 0.0024083032541376234, ""ar2_stat"": 2.0247833736300036, ""ar2_p"": 0.04288961306122242, ""transformation"": ""ld""}",baseline,(none),W,pct_aum,SPY,
panel_entity_fe_trend,0.01190000742718389,12.698755441197914,2.5866768744867074e-09,18.783569534230782,18816,44,True,"{""r2_overall"": 0.11199838568254639}",baseline,(none),W,pct_aum,SPY,0.0
univariate_r2_by_lag,0.00905056627358164,59.87094965734295,0.03206395679651211,,44,44,True,"{""best_lag"": 1, ""best_r2"": 0.00905056627358164}",baseline,(none),W,raw,QQQ,0.0
multilag_ols,0.07236990540243804,68.64187054230962,0.04350867417737503,0.0169198454276903,18860,44,True,{},baseline,(none),W,raw,QQQ,0.0
multilag_ols_month_fe,0.10182268262792521,63.547881085390706,0.038593924159051635,0.033317921738900774,18860,44,True,{},baseline,(none),W,raw,QQQ,0.0
cross_correlation,,0.09505143323791503,0.03206395679651217,,0,44,True,"{""best_lag"": 1, ""best_corr"": 0.09505143323791503}",baseline,(none),W,raw,QQQ,
panel_pooled,0.01452343533052558,75.66182721411526,0.0607943995625726,23.254341811947597,18860,44,False,"{""r2_overall"": 0.014590156936670429, ""r2_between"": 0.007388249737517283}",baseline,(none),W,raw,QQQ,0.0
panel_entity_fe,0.014523600690805716,75.81610652471765,0.06294841431688769,23.093888700374666,18860,44,False,"{""r2_overall"": 0.014589991248489365, ""r2_between"": 0.007296447000667561}",baseline,(none),W,raw,QQQ,0.0
panel_entity_time_fe,0.012952290808542988,91.63505405431522,0.1377432568014869,17.090396683206695,18860,44,False,"{""r2_overall"": 0.013009000579000563, ""r2_between"": 0.0028558616125431424}",baseline,(none),W,raw,QQQ,0.0
panel_entity_fe_excess,0.031163837158864283,52.3685052763733,0.23651063595095123,12.495252249361858,9389,42,False,"{""r2_overall"": 0.02959084446272242, ""r2_between"": -0.19294251534265805}",baseline,(none),W,raw,QQQ,0.0
